old_name,new_name,dataset,,
MSF_8_W.Wind_Dir,,Hourly Summary,,
MSF_8_W.Hi_Speed,,Hourly Summary,,
MSF_8_W.Hi_Dir,,Hourly Summary,,
MSF_8_W.Bar,,Hourly Summary,,
MSF_8_W.Rain,,Hourly Summary,,
MSF_8_W.Rain_Rate,,Hourly Summary,,
MSF_8_W.Hi_Solar_Rad,,Hourly Summary,,
MSF_8_W.UV_Index,,Hourly Summary,,
time_date,date_time,Field Measurements,,
precip.GSB Cox's Bazaar-1227,rain.GSB Cox's Bazaar-1227,Field Measurements,,
precip.UN Camp 16-1280,rain.UN Camp 16-1280,Field Measurements,,
precip.UN Chakmarkul-1278,rain.UN Chakmarkul-1278,Field Measurements,,
precip.GSB Teknaf-1226,rain.GSB Teknaf-1226,Field Measurements,,
precip.UN Kuturc-1279,rain.UN Kuturc-1279,Field Measurements,,
accumulated.GSB Cox's Bazaar-1227,cumulative_rain.GSB Cox's Bazaar-1227,Field Measurements,,
accumulated.GSB Teknaf-1226,cumulative_rain.GSB Teknaf-1226,Field Measurements,,
accumulated.UN Camp 16-1280,cumulative_rain.UN Camp 16-1280,Field Measurements,,
accumulated.UN Chakmarkul-1278,cumulative_rain.UN Chakmarkul-1278,Field Measurements,,
accumulated.UN Kuturc-1279,cumulative_rain.UN Kuturc-1279,Field Measurements,,
,quality.GSB Cox's Bazaar-1227,Field Measurements,,
,quality.GSB Teknaf-1226,Field Measurements,,
,quality.UN Camp 16-1280,Field Measurements,,
,quality.UN Chakmarkul-1278,Field Measurements,, 
,quality.UN Kuturc-1279,Field Measurements,,
,qualiy.SMEP_Hub,Field Measurements,,
,quality.MSF8W,Field Measurements,,
